Wavelength,mCherry,(AB),mCherry,(EM)
569,0.733,0.026,,
570,0.751,0.03,,
571,0.77,0.034,,
572,0.792,0.042,,
573,0.807,0.048,,
574,0.822,0.055,,
575,0.845,0.065,,
576,0.859,0.075,,
577,0.883,0.089,,
578,0.904,0.102,,
579,0.921,0.119,,
580,0.941,0.138,,
581,0.955,0.16,,
582,0.967,0.183,,
583,0.984,0.211,,
584,0.993,0.237,,
585,0.995,0.265,,
586,0.996,0.297,,
587,1,0.335,,
588,0.992,0.369,,
589,0.984,0.406,,
590,0.971,0.447,,
591,0.946,0.488,,
592,0.925,0.531,,
593,0.901,0.571,,
594,0.867,0.613,,
595,0.836,0.655,,
596,0.799,0.692,,
597,0.763,0.733,,
598,0.724,0.767,,
599,0.682,0.808,,
600,0.639,0.839,,
601,0.601,0.869,,
602,0.557,0.896,,
603,0.512,0.92,,
604,0.47,0.937,,
605,0.43,0.961,,
606,0.393,0.974,,
607,0.356,0.98,,
608,0.319,0.989,,
609,0.288,0.996,,
610,0.259,1,,
611,0.234,0.99,,
612,0.209,0.991,,
613,0.183,0.976,,
614,0.162,0.968,,
615,0.14,0.955,,
616,0.122,0.942,,
617,0.107,0.931,,
618,0.092,0.903,,
619,0.08,0.892,,
620,0.07,0.871,,
621,0.061,0.852,,
622,0.052,0.83,,
623,0.045,0.812,,
624,0.041,0.795,,
625,0.035,0.772,,
626,0.031,0.754,,
627,0.026,0.739,,
628,0.023,0.719,,
629,0.02,0.706,,
630,0.017,0.69,,
631,0.015,0.674,,
632,0.014,0.662,,
633,0.012,0.65,,
634,0.01,0.633,,
635,0.009,0.616,,
636,0.008,0.605,,
637,0.007,0.596,,
638,0.006,0.582,,
639,0.005,0.576,,
640,0.004,0.562,,
641,0.004,0.554,,
642,0.004,0.543,,
643,0.003,0.538,,
644,0.003,0.535,,
645,0.002,0.521,,
646,0.002,0.514,,
647,0.002,0.503,,
648,0.002,0.499,,
649,0.002,0.489,,
650,0.001,0.483,,
651,,0.477,,
652,,0.471,,
653,,0.462,,
654,,0.455,,
655,,0.452,,
656,,0.44,,
657,,0.433,,
658,,0.423,,
659,,0.416,,
660,,0.413,,
661,,0.406,,
662,,0.4,,
663,,0.392,,
664,,0.386,,
665,,0.378,,
666,,0.371,,
667,,0.365,,
668,,0.359,,
669,,0.354,,
670,,0.35,,
671,,0.34,,
672,,0.336,,
673,,0.329,,
674,,0.32,,
675,,0.314,,
676,,0.309,,
677,,0.305,,
678,,0.297,,
679,,0.286,,
680,,0.279,,
681,,0.276,,
682,,0.268,,
683,,0.26,,
684,,0.252,,
685,,0.247,,
686,,0.24,,
687,,0.232,,
688,,0.231,,
689,,0.225,,
690,,0.217,,
691,,0.206,,
692,,0.207,,
693,,0.198,,
694,,0.195,,
695,,0.19,,
696,,0.185,,
697,,0.18,,
698,,0.176,,
699,,0.169,,
700,,0.167,,
701,,0.163,,
702,,0.158,,
703,,0.154,,
704,,0.149,,
705,,0.145,,
706,,0.142,,
707,,0.142,,
708,,0.136,,
709,,0.135,,
710,,0.128,,
711,,0.126,,
712,,0.124,,
713,,0.122,,
714,,0.12,,
715,,0.116,,
716,,0.111,,
717,,0.11,,
718,,0.106,,
719,,0.104,,
720,,0.102,,
721,,0.1,,
722,,0.097,,
723,,0.096,,
724,,0.094,,
725,,0.092,,
726,,0.089,,
727,,0.087,,
728,,0.086,,
729,,0.083,,
730,,0.081,,
731,,0.079,,
732,,0.077,,
733,,0.078,,
734,,0.073,,
735,,0.075,,
736,,0.071,,
737,,0.073,,
